,Unnamed: 0,Company,2022_Valuation,2023_Valuation,2024_Valuation,Date Joined,Country,City,Industry,Select Investors,Overall_Growth,CAGR (%),Lat,Lng
81,81,Scale AI,7.3,7.3,7.3,8/5/2019,United States,San Francisco,Artificial intelligence,"Accel, Y Combinator, Index Ventures",0.0,0.0,37.6403143,-123.173825
82,82,Gong,7.25,7.25,7.25,8/12/2020,United States,Palo Alto,Artificial intelligence,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",0.0,0.0,37.2876789,-122.2026647
83,83,Gemini,7.1,7.1,7.1,11/19/2021,United States,New York,Fintech,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",0.0,0.0,40.476578,-74.258843
84,84,We Doctor,7.0,7.0,7.0,9/22/2015,China,Hangzhou,Health,"Tencent, Morningside Group",0.0,0.0,29.1888286,118.3396948
85,85,Ro,7.0,7.0,7.0,7/27/2020,United States,New York,Health,"Initialized Capital, General Catalyst, SignalFire",0.0,0.0,40.476578,-74.258843
86,86,ConsenSys,7.0,7.0,7.0,11/17/2021,United States,New York,Fintech,"Third Point, Electric Capital, Coinbase Ventures",0.0,0.0,40.476578,-74.258843
87,87,Automation Anywhere,6.8,6.8,6.8,7/2/2018,United States,San Jose,Artificial intelligence,"General Atlantic, Goldman Sachs, New Enterprise Associates",0.0,0.0,37.1231596,-122.0460405
88,88,1Password,6.8,6.8,6.8,7/8/2021,Canada,Toronto,Cybersecurity,"Slack Fund, Accel, Skip Capital",0.0,0.0,43.5796082,-79.6392832
89,89,Klarna,6.7,6.7,6.7,12/12/2011,Sweden,Stockholm,Fintech,"Institutional Venture Partners, Sequoia Capital, General Atlantic",0.0,0.0,59.2272559,17.7606917
90,90,Ziroom,6.6,6.6,6.6,1/17/2018,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, Warburg Pincus, General Catalyst",0.0,0.0,39.7457136,116.2312972
91,91,SVOLT,6.51,6.51,6.51,6/8/2020,China,Changzhou,Auto & transportation,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",0.0,0.0,31.1530205,119.1348516
92,92,National Stock Exchange of India,6.5,6.5,6.5,7/1/2020,India,Mumbai,Fintech,"TA Associates, SoftBank Group, GS Growth",0.0,0.0,18.9916479,72.776333
93,93,Mollie,6.5,6.5,6.5,9/8/2020,Netherlands,Amsterdam,Fintech,Technology Crossover Ventures,0.0,0.0,52.2781742,4.7287776
94,94,Doctolib,6.4,6.4,6.4,3/19/2019,France,Paris,Health,"BPI France, Kerala Ventures, Accel",0.0,0.0,48.8155755,2.224122
95,95,DataRobot,6.3,6.3,6.3,7/29/2019,United States,Boston,Artificial intelligence,"New Enterprise Associates, Accomplice, IA Ventures",0.0,0.0,42.2279112,-71.1912442
96,96,Upgrade,6.28,6.28,6.28,2/12/2018,United States,San Francisco,Fintech,"Union Square Ventures, Ribbit Capital, VY Capital",0.0,0.0,37.6403143,-123.173825
97,97,Hinge Health,6.2,6.2,6.2,1/6/2021,United States,San Francisco,Health,"Atomico, Insight Partners, Coatue Management",0.0,0.0,37.6403143,-123.173825
98,98,Black Unicorn Factory,6.1,6.1,6.1,5/20/2021,United States,Los Angeles,Other,Barter Ventures,0.0,0.0,33.659541,-118.6681842
99,99,Benchling,6.1,6.1,6.1,4/14/2021,United States,San Francisco,Internet software & services,"Thrive Capital, Benchmark, MenloVentures",0.0,0.0,37.6403143,-123.173825
100,100,Royole Corporation,6.0,6.0,6.0,8/18/2015,China,Shenzhen,Hardware,"Warmsun Holding, IDG Capital Partners",0.0,0.0,22.2875999,113.6793565
101,101,Wiz,6.0,10.0,10.0,3/17/2021,Israel,Tel Aviv,Cybersecurity,"Insight Partners, Sequoia Capital, Index Ventures",4.0,29.1,32.0293437,34.739131
102,102,iCapital Network,6.0,6.0,6.0,7/27/2021,United States,New York,Fintech,"BlackRock, Blackstone, UBS",0.0,0.0,40.476578,-74.258843
103,103,6Sense,5.2,5.2,5.2,3/30/2021,United States,San Francisco,Artificial intelligence,"Venrock, Battery Ventures, Insight Partners",0.0,0.0,37.6403143,-123.173825
104,104,Attentive,5.99,5.99,5.99,9/23/2020,United States,Hoboken,Mobile & telecommunications,"NextView Ventures, Eniac Ventures, Sequoia Capital",0.0,0.0,40.8629145,-123.4547657
105,105,Easyhome,5.78,5.78,5.78,2/12/2018,China,Beijing,Consumer & retail,"Alibaba Group, Boyu Capital, Borui Capital",0.0,0.0,39.7457136,116.2312972
106,106,Lianjia,5.77,5.77,5.77,4/7/2016,China,Beijing,E-commerce & direct-to-consumer,"Tencent, Baidu, Huasheng Capital",0.0,0.0,39.7457136,116.2312972
107,107,Cityblock Health,5.7,5.7,5.7,12/10/2020,United States,Brooklyn,Health,"Thrive Capital, Maverick Ventures, Redpoint Ventures",0.0,0.0,41.7206818,-92.4550866
108,108,Workato,5.7,5.7,5.7,1/12/2021,United States,Mountain View,Internet software & services,"Battery Ventures, Storm Ventures, Redpoint Ventures",0.0,0.0,37.3542156,-122.1175575
109,109,Back Market,5.7,5.7,5.7,5/18/2021,France,Paris,E-commerce & direct-to-consumer,"Aglae Ventures, Eurazeo, Daphni",0.0,0.0,48.8155755,2.224122
110,110,RELEX,5.7,5.7,5.7,2/17/2022,Finland,Helsinki,"Supply chain, logistics, & delivery","Blackstone, Technology Crossover Ventures, Summit Partners",0.0,0.0,59.922486,24.7828026
111,111,The Boring Company,5.7,5.7,5.7,4/20/2022,United States,Pflugerville,Other,"VY Capital, 8VC, Craft Ventures",0.0,0.0,30.381422,-97.6688245
112,112,Postman,5.6,5.6,5.6,6/11/2020,United States,San Francisco,Internet software & services,"Nexus Venture Partners, CRV, Insight Partners",0.0,0.0,37.6403143,-123.173825
113,113,FiveTran,5.6,5.6,5.6,6/30/2020,United States,Oakland,Data management & analytics,"Matrix Partners, Andreessen Horowitz, General Catalyst",0.0,0.0,37.6336763,-122.355881
114,114,ContentSquare,5.6,5.6,5.6,5/25/2021,France,Paris,Internet software & services,"Highland Europe, Eurazeo, Canaan Partners",0.0,0.0,48.8155755,2.224122
115,115,Trade Republic,5.36,5.36,5.36,5/20/2021,Germany,Berlin,Fintech,"Founders Fund. Accel, Creandum",0.0,0.0,52.3382448,13.088345
116,116,Rappi,5.25,5.25,5.25,8/31/2018,Colombia,Bogota,"Supply chain, logistics, & delivery","DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",0.0,0.0,4.4711754,-74.2235137
117,117,Collibra,5.25,5.25,5.25,1/29/2019,Belgium,Brussels,Data management & analytics,"Index Ventures, Battery Ventures, ICONIQ Capital",0.0,0.0,50.7964079,4.3140021
